"Samples","Cdiff_tox","Tox_name"
"SAMEA5616916","Yes","TcdB"
"SAMEA5616924","Yes","TcdA"
"SAMEA5616924","Yes","TcdB"
"SAMEA5616964","Yes","TcdA"
"SAMEA5616964","Yes","TcdB"
"SAMEA5616993","Yes","TcdA"
"SAMEA5616993","Yes","TcdB"
"SAMEA5617690","Yes","TcdA"
"SAMEA5617690","Yes","TcdB"
"SAMEA5617691","Yes","TcdA"
"SAMEA5617691","Yes","TcdB"
"SAMEA5617750","Yes","TcdB"
"SAMEA5617827","Yes","TcdB"
"SAMEA5617827","Yes","TcdA"
"SAMEA5617841","Yes","TcdA"
"SAMEA5617841","Yes","TcdB"
"SAMEA5617863","Yes","TcdB"
"SAMEA5617863","Yes","TcdA"
"SAMEA5617906","Yes","TcdA"
"SAMEA5617917","Yes","TcdA"
"SAMEA5617917","Yes","TcdB"
"SAMEA5617956","Yes","TcdA"
"SAMEA5617956","Yes","TcdB"
"SAMEA5617993","Yes","TcdA"
"SAMEA5618005","Yes","TcdA"
"SAMEA5618005","Yes","TcdB"
"SAMEA5618012","Yes","TcdA"
"SAMEA5618012","Yes","TcdB"
"SAMEA5618129","Yes","TcdB"
"SAMEA5618129","Yes","TcdA"
"SAMEA5618177","Yes","TcdA"
"SAMEA5618177","Yes","TcdB"
"SAMEA5618191","Yes","TcdA"
"SAMEA5618381","Yes","TcdA"
"SAMEA5618381","Yes","TcdB"
"SAMEA5618393","Yes","TcdA"
"SAMEA5618393","Yes","TcdB"
"SAMEA5618475","Yes","TcdB"
"SAMEA5618475","Yes","TcdA"
"SAMEA5618506","Yes","TcdA"
"SAMEA5618596","Yes","TcdB"
"SAMEA5618596","Yes","TcdA"
"SAMEA5618600","Yes","TcdA"
"SAMEA5618600","Yes","TcdB"
"SAMEA6377484","Yes","TcdB"
"SAMEA6377484","Yes","TcdA"
"SAMEA6377485","Yes","TcdA"
"SAMEA6377485","Yes","TcdB"
"SAMEA6377487","Yes","TcdB"
"SAMEA6377487","Yes","TcdA"
"SAMEA6377488","Yes","TcdB"
"SAMEA6377488","Yes","TcdA"
"SAMEA6377489","Yes","TcdB"
"SAMEA6377489","Yes","TcdA"
"SAMEA6377493","Yes","TcdA"
"SAMEA6377493","Yes","TcdB"
"SAMEA6377494","Yes","TcdA"
"SAMEA6377494","Yes","TcdB"
"SAMEA6377495","Yes","TcdA"
"SAMEA6377495","Yes","TcdB"
"SAMEA6377496","Yes","TcdB"
"SAMEA6377496","Yes","TcdA"
"SAMEA6377497","Yes","TcdB"
"SAMEA6377497","Yes","TcdA"
"SAMEA6377498","Yes","TcdA"
"SAMEA6377498","Yes","TcdB"
"SAMEA6377499","Yes","TcdA"
"SAMEA6377499","Yes","TcdB"
"SAMEA6377500","Yes","TcdB"
"SAMEA6377500","Yes","TcdA"
"SAMEA6377501","Yes","TcdB"
"SAMEA6377501","Yes","TcdA"
"SAMEA6377502","Yes","TcdB"
"SAMEA6377502","Yes","TcdA"
"SAMEA6377503","Yes","TcdA"
"SAMEA6377503","Yes","TcdB"
"SAMEA6377505","Yes","TcdB"
"SAMEA6377505","Yes","TcdA"
"SAMEA6377506","Yes","TcdA"
"SAMEA6377506","Yes","TcdB"
"SAMEA6377507","Yes","TcdB"
"SAMEA6377507","Yes","TcdA"
"SAMEA7013965","Yes","TcdB"
"SAMEA7013965","Yes","TcdA"
"SAMEA7013979","Yes","TcdA"
"SAMN00715222","Yes","TcdB"
"SAMN00715222","Yes","TcdA"
"SAMN00791916","Yes","TcdB"
"SAMN00791916","Yes","TcdA"
"SAMN00791953","Yes","TcdA"
"SAMN00792103","Yes","TcdB"
"SAMN00993240","Yes","TcdB"
"SAMN00993240","Yes","TcdA"
"SAMN01780027","Yes","TcdA"
"SAMN01780027","Yes","TcdB"
"SAMN01828278","Yes","TcdB"
"SAMN01828278","Yes","TcdA"
"SAMN02674694","Yes","TcdB"
"SAMN02674694","Yes","TcdA"
"SAMN02674708","Yes","TcdB"
"SAMN02674708","Yes","TcdA"
"SAMN02674792","Yes","TcdB"
"SAMN02674792","Yes","TcdA"
"SAMN02675046","Yes","TcdA"
"SAMN02675046","Yes","TcdB"
"SAMN02676158","Yes","TcdA"
"SAMN02676158","Yes","TcdB"
"SAMN02676177","Yes","TcdA"
"SAMN02676177","Yes","TcdB"
"SAMN02676205","Yes","TcdA"
"SAMN03295812","Yes","TcdA"
"SAMN03295812","Yes","TcdB"
"SAMN03295813","Yes","TcdB"
"SAMN03295813","Yes","TcdA"
"SAMN03295815","Yes","TcdB"
"SAMN03295815","Yes","TcdA"
"SAMN03295816","Yes","TcdB"
"SAMN03295816","Yes","TcdA"
"SAMN03295817","Yes","TcdA"
"SAMN03295817","Yes","TcdB"
"SAMN03295818","Yes","TcdA"
"SAMN03295818","Yes","TcdB"
"SAMN03295819","Yes","TcdA"
"SAMN03295819","Yes","TcdB"
"SAMN03295857","Yes","TcdA"
"SAMN03398796","Yes","TcdA"
"SAMN03398796","Yes","TcdB"
"SAMN03401251","Yes","TcdA"
"SAMN03401251","Yes","TcdB"
"SAMN04121064","Yes","TcdB"
"SAMN04209244","Yes","TcdB"
"SAMN04436617","Yes","TcdB"
"SAMN04436617","Yes","TcdA"
"SAMN04436715","Yes","TcdA"
"SAMN04436715","Yes","TcdB"
"SAMN04436824","Yes","TcdB"
"SAMN04436824","Yes","TcdA"
"SAMN04436830","Yes","TcdB"
"SAMN04436830","Yes","TcdA"
"SAMN04436831","Yes","TcdA"
"SAMN04436831","Yes","TcdB"
"SAMN04436873","Yes","TcdB"
"SAMN04436873","Yes","TcdA"
"SAMN04436907","Yes","TcdA"
"SAMN04436907","Yes","TcdB"
"SAMN04436908","Yes","TcdA"
"SAMN04436908","Yes","TcdB"
"SAMN04436909","Yes","TcdA"
"SAMN04436909","Yes","TcdB"
"SAMN04436911","Yes","TcdB"
"SAMN04436911","Yes","TcdA"
"SAMN04436930","Yes","TcdA"
"SAMN04436930","Yes","TcdB"
"SAMN04436932","Yes","TcdB"
"SAMN04436932","Yes","TcdA"
"SAMN04436934","Yes","TcdA"
"SAMN04436934","Yes","TcdB"
"SAMN05525356","Yes","TcdA"
"SAMN05525356","Yes","TcdB"
"SAMN05525382","Yes","TcdA"
"SAMN05525382","Yes","TcdB"
"SAMN05525388","Yes","TcdA"
"SAMN05525388","Yes","TcdB"
"SAMN05525452","Yes","TcdA"
"SAMN05525452","Yes","TcdB"
"SAMN05544990","Yes","TcdA"
"SAMN05545012","Yes","TcdA"
"SAMN05545039","Yes","TcdA"
"SAMN05545039","Yes","TcdB"
"SAMN05545066","Yes","TcdA"
"SAMN05545066","Yes","TcdB"
"SAMN05545074","Yes","TcdB"
"SAMN05545074","Yes","TcdA"
"SAMN05545090","Yes","TcdA"
"SAMN05545091","Yes","TcdA"
"SAMN06444372","Yes","TcdA"
"SAMN06444372","Yes","TcdB"
"SAMN06444373","Yes","TcdA"
"SAMN06444373","Yes","TcdB"
"SAMN06444374","Yes","TcdB"
"SAMN06444374","Yes","TcdA"
"SAMN06444375","Yes","TcdB"
"SAMN06444375","Yes","TcdA"
"SAMN06444376","Yes","TcdA"
"SAMN06444376","Yes","TcdB"
"SAMN06444377","Yes","TcdB"
"SAMN06444377","Yes","TcdA"
"SAMN06444378","Yes","TcdB"
"SAMN06444378","Yes","TcdA"
"SAMN06444379","Yes","TcdB"
"SAMN06444379","Yes","TcdA"
"SAMN06444408","Yes","TcdA"
"SAMN06444408","Yes","TcdB"
"SAMN06444427","Yes","TcdA"
"SAMN06444427","Yes","TcdB"
"SAMN06444428","Yes","TcdB"
"SAMN06444428","Yes","TcdA"
"SAMN06444466","Yes","TcdB"
"SAMN06444466","Yes","TcdA"
"SAMN06444467","Yes","TcdB"
"SAMN06444467","Yes","TcdA"
"SAMN06444468","Yes","TcdB"
"SAMN06444468","Yes","TcdA"
"SAMN06444472","Yes","TcdB"
"SAMN06444472","Yes","TcdA"
"SAMN06444473","Yes","TcdA"
"SAMN06444473","Yes","TcdB"
"SAMN06444474","Yes","TcdB"
"SAMN06444474","Yes","TcdA"
"SAMN06444475","Yes","TcdA"
"SAMN06444475","Yes","TcdB"
"SAMN06444476","Yes","TcdB"
"SAMN06444476","Yes","TcdA"
"SAMN06444477","Yes","TcdB"
"SAMN06444478","Yes","TcdA"
"SAMN06444478","Yes","TcdB"
"SAMN06444480","Yes","TcdA"
"SAMN06444480","Yes","TcdB"
"SAMN06444481","Yes","TcdA"
"SAMN06444481","Yes","TcdB"
"SAMN06444482","Yes","TcdB"
"SAMN06444482","Yes","TcdA"
